year,state,geo,state_name,geo_name,population,subgroup_type,subgroup,share_digital_access,share_digital_access_quality,rate_juv_arrest_quality,rate_juv_arrest
2018,36,029,New York,Erie County,954236,all,All,NA,NA,NA,NA
2018,36,029,New York,Erie County,954236,race-ethnicity,Black,NA,NA,NA,NA
2018,36,029,New York,Erie County,954236,race-ethnicity,Hispanic,NA,NA,NA,NA
2018,36,029,New York,Erie County,954236,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2018,36,029,New York,Erie County,954236,race-ethnicity,White,NA,NA,NA,NA
2018,36,055,New York,Monroe County,759443,all,All,NA,NA,NA,NA
2018,36,055,New York,Monroe County,759443,race-ethnicity,Black,NA,NA,NA,NA
2018,36,055,New York,Monroe County,759443,race-ethnicity,Hispanic,NA,NA,NA,NA
2018,36,055,New York,Monroe County,759443,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2018,36,055,New York,Monroe County,759443,race-ethnicity,White,NA,NA,NA,NA
2018,36,067,New York,Onondaga County,476516,all,All,NA,NA,NA,NA
2018,36,067,New York,Onondaga County,476516,race-ethnicity,Black,NA,NA,NA,NA
2018,36,067,New York,Onondaga County,476516,race-ethnicity,Hispanic,NA,NA,NA,NA
2018,36,067,New York,Onondaga County,476516,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2018,36,067,New York,Onondaga County,476516,race-ethnicity,White,NA,NA,NA,NA
2018,39,113,Ohio,Montgomery County,537309,all,All,NA,NA,NA,NA
2018,39,113,Ohio,Montgomery County,537309,race-ethnicity,Black,NA,NA,NA,NA
2018,39,113,Ohio,Montgomery County,537309,race-ethnicity,Hispanic,NA,NA,NA,NA
2018,39,113,Ohio,Montgomery County,537309,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2018,39,113,Ohio,Montgomery County,537309,race-ethnicity,White,NA,NA,NA,NA
2018,39,153,Ohio,Summit County,540428,all,All,NA,NA,NA,NA
2018,39,153,Ohio,Summit County,540428,race-ethnicity,Black,NA,NA,NA,NA
2018,39,153,Ohio,Summit County,540428,race-ethnicity,Hispanic,NA,NA,NA,NA
2018,39,153,Ohio,Summit County,540428,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2018,39,153,Ohio,Summit County,540428,race-ethnicity,White,NA,NA,NA,NA
2018,55,079,Wisconsin,Milwaukee County,939489,all,All,NA,NA,NA,NA
2018,55,079,Wisconsin,Milwaukee County,939489,race-ethnicity,Black,NA,NA,NA,NA
2018,55,079,Wisconsin,Milwaukee County,939489,race-ethnicity,Hispanic,NA,NA,NA,NA
2018,55,079,Wisconsin,Milwaukee County,939489,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
