state,county,state_name,county_name,population,pctl_20,pctl_50,pctl_80,share_affordable_80_ami,share_affordable_50_ami,famstruc_2par_married,famstruc_2par_married_ub,famstruc_2par_married_lb,famstruc_2par_unmarried,famstruc_2par_unmarried_ub,famstruc_2par_unmarried_lb,famstruc_1par_plusadults,famstruc_1par_plusadults_ub,famstruc_1par_plusadults_lb,famstruc_1par_noadults,famstruc_1par_noadults_ub,famstruc_1par_noadults_lb,famstruc_0par_2adults,famstruc_0par_2adults_ub,famstruc_0par_2adults_lb,famstruc_0par_other,famstruc_0par_other_ub,famstruc_0par_other_lb,hpsa_yn,hpsa_yn_quality,asian_other,asian_other_quality,black_nonhispanic,black_nonhispanic_quality,hispanic,hispanic_quality,white_nonhispanic,white_nonhispanic_quality,election_turnout,election_turnout_quality,haz_idx,haz_idx_quality,poverty_exposure,poverty_exposure_quality,white_nh_exposure,white_nh_exposure_quality,black_nh_exposure,black_nh_exposure_quality,hispanic_exposure,hispanic_exposure_quality,transit_cost,transit_trips,transit_cost_quality,transit_trips_quality,share_hs_degree,share_hs_degree_ub,share_hs_degree_lb,_FREQ_.x,share_in_preschool,share_in_preschool_ub,share_in_preschool_lb,_FREQ_.y,learning_rate,learning_rate_lb,learning_rate_ub,num_grades_included,learning_rate_quality,frpl40_total,poverty_measure_used,frpl40_total_quality,frpl40_white,frpl40_white_quality,frpl40_black,frpl40_black_quality,frpl40_hispanic,frpl40_hispanic_quality,share_employed,share_employed_ub,share_employed_lb,average_to_living_wage_ratio
01,001,Alabama,Autauga County,55601,20160.63,53694.14,102322.8,1.6756087998,1.5823909759,0.6721385477,0.7238159912,0.6204611041,0.039787795,0.0613049569,0.0182706331,0.0584555267,0.0842816755,0.0326293779,0.190831283,0.2340897144,0.1475728516,0.0065812515,0.0154824167,-0.002319914,0.0322055961,0.0516405567,0.0127706355,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0.613738019169329,1,5.738374201973302,1,0,1,0.20003998794343403,1,0.7399626794955018,1,0.9293954372152466,1,16.43,18.5,1,1,0.8527528604,0.9945232316,0.7109824893,24,0.193618443,0.3176315027,0.0696053833,39,0.96334958,0.86069095,1.0660082,6,1,0.78623271,FRPL,1,0.80006719,1,0.74851567,1,0.76190478,1,0.7633750483,0.8005175651,0.7262325315,0.65351963
01,003,Alabama,Baldwin County,218022,25327.42,55315.1,112960.3,1.7734267755,1.4943334933,0.6608442226,0.7114657904,0.6102226549,0.0253152501,0.0421113957,0.0085191046,0.0521353194,0.0759051246,0.0283655142,0.2014171968,0.2443011372,0.1585332565,0,0,0,0.060288011,0.0857386853,0.0348373366,0,1,0,3,0.4225476522547652,3,0,3,1.522751641871063,3,0.6273637741319101,1,37.74025783844565,1,0,1,0.1270385670272831,1,0.7998583747234371,1,0.9240089744036263,1,27.47,22.51,1,1,0.8123339658,0.959610764,0.6650571677,27,0.514122062,0.6992507682,0.3289933559,28,0.80453658,0.74293524,0.86613792,6,1,0.52366197,FRPL,1,0.47485617,1,0.64800858,1,0.69631803,1,0.8160460653,0.8498387161,0.7822534144,0.61715484
01,005,Alabama,Barbour County,24881,12157.16,34040.06,75982.27,1.5236436354,1.359338983,0.4534602896,0.5154201917,0.3915003875,0.0237866448,0.0427523587,0.0048209308,0.0662648876,0.0972236656,0.0353061097,0.4067312828,0.4678690739,0.3455934917,0,0,0,0.0497568952,0.0768197889,0.0226940016,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5138159509202453,1,8.555035215162802,1,0,1,0.48631201017108155,1,0.4902415626363391,1,0.9354917363033973,1,1.29,7.16,1,1,0.8433018372,1.0067585446,0.6798451298,19,0.3492307692,0.5324787311,0.1659828074,26,1.0028402,0.8289628,1.1767175,6,1,1,Both,3,1,3,1,3,1,3,0.6406170531,0.6862354046,0.5949987017,0.67505515
01,007,Alabama,Bibb County,22400,10130.97,28164.1,73246.91,1.3690080509,1.5073685963,0.3059393786,0.3738262557,0.2380525015,0.0231498233,0.0453040838,9.955628e-4,0.1221514832,0.1703938494,0.0739091171,0.4737394317,0.547299076,0.4001797874,0,0,0,0.0750198832,0.1138281126,0.0362116538,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5013644115974986,1,11.901690725290248,1,0,1,0.19303543274290708,1,0.6145360296753569,1,0.9638815707920356,1,21.53,26.37,1,1,0.8890210177,1.0429330112,0.7351090242,16,0.4557716437,0.6687868749,0.2427564124,21,1.0027248,0.82204592,1.1834036000000001,6,1,1,FRPL,1,1,1,1,1,1,1,0.6030012788,0.657119675,0.5488828826,0.67442268
01,009,Alabama,Blount County,57840,22592.06,52468.29,95940.29,1.6238383495,1.564952308,0.7496506534,0.8057607508,0.6935405559,0.0213591115,0.0400849641,0.0026332589,0.0506744267,0.079082406,0.0222664474,0.1397610387,0.1846708204,0.094851257,0,0,0,0.0385547697,0.0634915088,0.0136180306,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.6030638699033702,1,25.647133315985776,1,0,1,0.09879091056871844,1,0.9702573107347411,1,0.8520011053785991,1,20.31,20.54,1,1,0.903599752,1.0298329402,0.7773665638,21,0.2309973046,0.3930054254,0.0689891838,26,0.69946158,0.58988708,0.80903608,6,1,0.69947565,FRPL,1,0.67279464,1,0.64245808,1,0.85620916,1,0.7213033192,0.765187576,0.6774190623,0.59919524
01,011,Alabama,Bullock County,10138,12157.16,34040.06,75982.27,1.5236436819,1.3593390286,0.4534602432,0.5154201448,0.3915003417,0.0237866465,0.0427523611,0.0048209318,0.0662648826,0.0972236594,0.0353061057,0.4067313338,0.467869126,0.3455935415,0,0,0,0.049756894,0.0768197873,0.0226940007,1,1,0,3,0.7661659742196654,3,0,3,2.9235772357723575,3,0.5747406955460647,1,5.955017301038063,1,0.9344887968969965,1,0.6872973961550695,1,0.21267984959839906,1,0.9941175056267364,1,0,9.23,1,1,0.8433018583,1.0067585567,0.6798451599,19,0.3492307692,0.5324787311,0.1659828074,26,0.65637618,0.34711632,0.96563601,5,1,1,Both,3,1,3,1,3,1,3,0.6406170466,0.6862353982,0.594998695,0.62476832
01,013,Alabama,Butler County,19680,16918.72,47615.56,97257.31,2.0226143867,2.1030064472,0.4746763458,0.5247531567,0.4245995349,0.0827007006,0.1103213901,0.0550800111,0.0217112292,0.0363262732,0.0070961851,0.3773425764,0.4259515981,0.3287335548,8.068362e-4,0.0036541924,-0.00204052,0.0427623119,0.0630515095,0.0224731142,1,1,0,3,0.5945279383429671,3,0,3,1.72168284789644,3,0.5660940032414911,1,13.952199970764507,1,0,1,0.37142706451650626,1,0.4475761920893149,1,0.9905377956625631,1,1.61,2.62,1,1,0.7598039264,0.9055620672,0.6140457856,33,0.3583836858,0.5150287214,0.2017386502,36,0.69228435,0.51053286,0.87403584,6,1,1,FRPL,1,1,1,1,1,1,1,0.7444219945,0.7774752582,0.7113687307,0.62106049
01,015,Alabama,Calhoun County,114277,19451.46,47311.63,95433.74,1.6842453767,1.5045413576,0.4650972029,0.5373641693,0.3928302364,0.1616766467,0.2150174996,0.1083357938,0.0610286277,0.0957121746,0.0263450807,0.1900582397,0.2469043526,0.1332121267,0.0452382905,0.0753497022,0.0151268789,0.0769009925,0.1155039556,0.0382980295,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5406834227619317,1,15.323204137012954,1,0.20121338393817553,1,0.1902720186204171,1,0.6069246748493979,1,0.9087706722020147,1,13.22,24.45,1,1,0.8845771144,1.005105129,0.7640490998,27,0.422954726,0.6248583148,0.2210511371,23,0.80768371,0.7214883,0.89387912,4,2,0.97550571,Both,3,0.96654642,3,0.99384552,3,0.97889185,3,0.7416833904,0.790887879,0.6924789018,0.69897389
01,017,Alabama,Chambers County,33615,15804.31,42854,84593.6,1.8688841574,1.7847360614,0.4770744247,0.5430765226,0.4110723268,0.0801407443,0.116019065,0.0442624236,0.0775555601,0.1129000167,0.0422111035,0.2995224742,0.3600505044,0.2389944439,0,0,0,0.0657067967,0.0984477616,0.0329658319,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0.5249244712990937,1,11.415798891202957,1,0,1,0.3812552825753042,1,0.5580534369521202,1,0.9479362400610211,1,2.89,2.92,1,1,0.8803399657,0.9984690515,0.7622108798,29,0.4688385269,0.721381548,0.2162955058,15,0.83473289,0.68028319,0.98918259,6,1,1,FRPL,1,1,1,1,1,1,1,0.6645565676,0.7111187307,0.6179944046,0.66812706
01,019,Alabama,Cherokee County,26032,15500.38,38497.69,80034.66,1.6683680324,1.8012750758,0.5358017021,0.5931028594,0.4785005448,0.0333117632,0.0539300039,0.0126935226,0.0874715152,0.1199328308,0.0550101997,0.2853726532,0.3372592957,0.2334860107,0.0115634598,0.0238471222,-7.20203e-4,0.0464789065,0.070667058,0.022290755,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5234333089490368,1,22.985331387758237,1,0,1,0.06350340588456269,1,0.9389300270558845,1,0.9793785722242337,1,4.36,51.95,1,1,0.7960679601,0.9726550207,0.6194808994,20,0.3743206522,0.5640278773,0.1846134271,25,0.88491708,0.72593564,1.0438986,6,1,1,FRPL,1,1,1,1,1,1,1,0.7148604061,0.7558527261,0.6738680861,0.61457181
