year,state,county,environmental,subgroup,subgroup_type,environmental_quality
2014,1,1,5.738374202,All,all,1
2014,1,1,NA,No Predominant Racial Group,race_share_env,NA
2014,1,1,7.536446469,Predominantly People of Color,race_share_env,1
2014,1,1,5.598732522,"Predominantly White, Non-Hispanic",race_share_env,1
2014,1,3,37.74025784,All,all,1
2014,1,3,NA,No Predominant Racial Group,race_share_env,NA
2014,1,3,17,Predominantly People of Color,race_share_env,1
2014,1,3,38.19824042,"Predominantly White, Non-Hispanic",race_share_env,1
2014,1,5,8.555035215,All,all,1
2014,1,5,8.41928911,No Predominant Racial Group,race_share_env,1
2014,1,5,8,Predominantly People of Color,race_share_env,1
2014,1,5,9.766712142,"Predominantly White, Non-Hispanic",race_share_env,1
2014,1,7,11.90169073,All,all,1
2014,1,7,11,No Predominant Racial Group,race_share_env,1
2014,1,7,NA,Predominantly People of Color,race_share_env,NA
2014,1,7,12.48406677,"Predominantly White, Non-Hispanic",race_share_env,1
2014,1,9,25.64713332,All,all,1
2014,1,9,NA,No Predominant Racial Group,race_share_env,NA
2014,1,9,NA,Predominantly People of Color,race_share_env,NA
2014,1,9,25.44199134,"Predominantly White, Non-Hispanic",race_share_env,1
2014,1,11,5.955017301,All,all,1
2014,1,11,NA,No Predominant Racial Group,race_share_env,NA
2014,1,11,5.710972239,Predominantly People of Color,race_share_env,1
2014,1,11,NA,"Predominantly White, Non-Hispanic",race_share_env,NA
2014,1,13,13.95219997,All,all,1
2014,1,13,14.82079075,No Predominant Racial Group,race_share_env,1
2014,1,13,13.22256754,Predominantly People of Color,race_share_env,1
2014,1,13,13.2490585,"Predominantly White, Non-Hispanic",race_share_env,1
2014,1,15,15.32320414,All,all,1
2014,1,15,14.91300951,No Predominant Racial Group,race_share_env,1
2014,1,15,11.6283105,Predominantly People of Color,race_share_env,1
2014,1,15,16.24623294,"Predominantly White, Non-Hispanic",race_share_env,1
2014,1,17,11.41579889,All,all,1
2014,1,17,11.14017987,No Predominant Racial Group,race_share_env,1
2014,1,17,9,Predominantly People of Color,race_share_env,1
2014,1,17,11.83958567,"Predominantly White, Non-Hispanic",race_share_env,1
2014,1,19,22.98533139,All,all,1
2014,1,19,NA,No Predominant Racial Group,race_share_env,NA
2014,1,19,NA,Predominantly People of Color,race_share_env,NA
2014,1,19,23.07263153,"Predominantly White, Non-Hispanic",race_share_env,1
2014,1,21,12.59895845,All,all,1
2014,1,21,NA,No Predominant Racial Group,race_share_env,NA
2014,1,21,NA,Predominantly People of Color,race_share_env,NA
2014,1,21,12.63643823,"Predominantly White, Non-Hispanic",race_share_env,1
2014,1,23,19.65620847,All,all,1
2014,1,23,19,No Predominant Racial Group,race_share_env,1
2014,1,23,18,Predominantly People of Color,race_share_env,1
2014,1,23,20.51098123,"Predominantly White, Non-Hispanic",race_share_env,1
2014,1,25,14.20299238,All,all,1
2014,1,25,13.77777082,No Predominant Racial Group,race_share_env,1
2014,1,25,15,Predominantly People of Color,race_share_env,1
2014,1,25,14.85252918,"Predominantly White, Non-Hispanic",race_share_env,1
2014,1,27,19.12565176,All,all,1
2014,1,27,NA,No Predominant Racial Group,race_share_env,NA
2014,1,27,NA,Predominantly People of Color,race_share_env,NA
2014,1,27,19.09706422,"Predominantly White, Non-Hispanic",race_share_env,1
2014,1,29,23.53302201,All,all,1
2014,1,29,NA,No Predominant Racial Group,race_share_env,NA
2014,1,29,NA,Predominantly People of Color,race_share_env,NA
2014,1,29,23.91624092,"Predominantly White, Non-Hispanic",race_share_env,1
2014,1,31,14.60572487,All,all,1
2014,1,31,13,No Predominant Racial Group,race_share_env,1
2014,1,31,NA,Predominantly People of Color,race_share_env,NA
2014,1,31,14.86042048,"Predominantly White, Non-Hispanic",race_share_env,1
2014,1,33,31.88955974,All,all,1
2014,1,33,27,No Predominant Racial Group,race_share_env,1
2014,1,33,NA,Predominantly People of Color,race_share_env,NA
2014,1,33,32.42903211,"Predominantly White, Non-Hispanic",race_share_env,1
2014,1,35,12.78167116,All,all,1
